Harapan_Lama_Sekolah;Pengeluaran_Perkapita;Rerata_Lama_Sekolah;Usia_Harapan_Hidup;IPM
1273;12707;752;6741;Normal
124;9868;755;6627;Normal
1195;11952;777;7057;High
1238;12736;776;6612;Normal
1221;12280;801;662;Normal
1292;9644;775;641;Normal
1289;11470;911;7057;High
1248;11844;797;7045;High
1247;11500;769;6785;Normal
1394;14432;102;7129;High
1482;13789;1096;721;High
1381;12116;984;7461;High
1325;10673;879;7288;High
1302;10062;87;731;High
136;11048;923;7264;High
129;10868;943;7346;High
1333;12435;953;7232;High
1257;11651;836;7168;High
1261;7802;818;7233;Normal
1422;14862;1091;7476;Very-High
1509;14582;1049;7454;Very-High
1317;16765;108;7455;Very-High
1294;9075;911;7265;High
1331;9928;94;7149;High
1301;9423;919;7274;High
1222;7676;88;7149;Normal
1265;7064;817;714;Normal
1403;11261;998;7404;High
1294;10882;962;7176;High
1153;10220;803;6945;Normal
1415;12481;973;7116;High
1247;11524;834;7018;High
1259;8558;972;7024;Normal
1283;11554;909;7001;High
1292;11481;10;714;High
1217;9143;841;6773;Normal
1186;8145;903;7087;Normal
1243;10479;911;7021;High
123;8939;815;6449;Normal
1186;9115;793;6794;Normal
1416;13991;1142;719;High
1262;12271;989;711;High
1421;11851;1074;7206;High
1288;10848;1031;706;High
1323;9378;889;6883;Normal
1307;7453;844;6659;Normal
1325;9603;853;7088;High
1335;11028;934;6923;High
1371;8850;95;7119;High
1251;8002;798;675;Normal
1289;7947;876;6618;Normal
131;7974;908;6905;Normal
1248;9675;774;6435;Normal
1229;7621;84;659;Normal
1288;8171;882;7009;Normal
1296;7707;863;6567;Normal
1225;8890;872;6971;Normal
1628;14894;1172;7109;Very-High
1352;11184;846;7066;High
1266;9060;808;6852;Normal
1341;10632;782;681;Normal
1205;11829;677;706;Normal
121;9215;66;6649;Normal
1242;10543;749;673;Normal
1365;9504;82;7045;High
1306;9505;778;6738;Normal
1316;11032;801;6904;High
1277;11519;792;6678;Normal
1359;11017;824;6907;High
1298;9030;723;6721;Normal
1305;9558;782;6981;Normal
1315;12505;705;6748;Normal
1295;12201;794;7001;High
1324;11956;787;6977;High
1371;10973;891;7093;High
1339;10116;835;7044;High
1386;7434;851;734;Normal
1257;11736;786;6867;High
1284;12886;881;7063;High
1339;8134;825;7341;Normal
1558;17097;1143;7213;Very-High
1451;13786;1065;7131;High
1509;13117;1094;7092;High
1368;9381;913;7127;High
1376;7324;792;6839;Normal
138;8218;846;7041;Normal
1301;10151;921;7032;High
1283;12525;899;7121;High
1237;9059;811;7087;Normal
1185;8310;804;6909;Normal
1351;9280;816;7048;Normal
1215;10244;822;7036;Normal
1292;7496;893;7093;Normal
1308;9181;93;6953;High
1269;7753;784;7282;Normal
1232;6738;942;6843;Normal
1251;7502;73;7035;Normal
1312;7244;731;6769;Normal
1324;7279;754;6769;Normal
1689;14356;1251;7383;Very-High
1517;10503;1091;7125;High
1311;10157;79;6819;Normal
1245;8940;7;693;Normal
1318;9412;73;6769;Normal
